,INST,COUNTRY
1, Arizona State University,USA
2, Arizona State University West,USA
3, Boston University,USA
4, Brigham Young University,USA
5, Brown University,USA
6, Carnegie Museum of Natural History,USA
7, Centro de Ecologia,Venezuela
8, Cornell University,USA
9, CSIC-UPV,Spain
10, Duke University,USA
11, Ecole Normale Superieure,France
12, Florida State University,USA
13, Grinnell College,USA
14, Harvard Medical School,USA
15, Harvard University,USA
16, Harvard University Herbaria,USA
17, Idaho State University,USA
18, Indiana University,USA
19, Iowa State University,USA
20, Louisiana State University,USA
21, Ludwig-Maximilians-UniversitÑt MÅnchen,Germany
22, McGill University,Canada
23, McMaster University,Canada
24, Michigan State University,USA
25, Museum fu_r Naturkunde,Germany
26, Museum of Comparative Zoology,USA
27, New Mexico State University,USA
28, North Carolina State University,USA
29, Northern Arizona University,USA
30, Northwestern University,USA
31, Oxford University,United Kingdom
32, Pennsylvania State University,USA
33, Princeton University,USA
34, Rice University,USA
35, Royal Holloway,United Kingdom
36, Rutgers University,USA
37, San Francisco State University,USA
38, Simon Fraser University,Canada
39, Smith College,USA
40, Stanford University,USA
41, State University of New York at Stony Brook,USA
42, Syracuse University,USA
43, Texas State University,USA
44, The University of Chicago,USA
45, The University of Southwestern Louisiana,USA
46, Univ. of Wisconsin-Milwaukee,USA
47, Universidad Nacional Aut¢noma de MÇxico,Mexico
48, UniversitÇ Paris-Sud,France
49, Universite Pierre and Marie Curie,France
50, University of Alberta,Canada
51, University of Arizona,USA
52, University of British Columbia,Canada
53, University of California,USA
54, University of California at San Diego,USA
55, University of California- Davis,USA
56, University of California-San Diego,USA
57, University of Chicago,USA
58, University of Colorado,USA
59, University of Colorado- Boulder,USA
60, University of Connecticut,USA
61, University of Edinburgh,United Kingdom
62, University of Florida,USA
63, University of Georgia,USA
64, University of Guelph,Canada
65, University of Houston,USA
66, University of Illinois,USA
67, University of Illinois at Chicago,USA
68, University of Kansas,USA
69, University of Maine,USA
70, University of Maryland,USA
71, University of Massachusetts Boston,USA
72, University of Michigan,USA
73, University of Minnesota,USA
74, University of Missouri-St. Louis,USA
75, University of Montana,USA
76, University of Nebraska,USA
77, University of New South Wales,Australia
78, University of North Carolina,USA
79, University of Oregon,USA
80, University of Oslo,Norway
81, University of Otago,NewZealand
82, University of Oulu,Finland
83, University of Pittsburgh,USA
84, University of Puerto Rico,PuertoRico
85, University of Rochester,USA
86, University of Sheffield,United Kingdom
87, University of South Carolina,USA
88, University of South Florida,USA
89, University of Texas,USA
90, University of Texas at Austin,USA
91, University of Toronto,Canada
92, University of Utah,USA
93, University of Vermont,USA
94, University of Virginia,USA
95, University of Washington,USA
96, University of Wisconsin,USA
97, University of Wisconsin-Milwaukee,USA
98, University of Wollongong,Australia
99, University of Wyoming,USA
100, Uppsala University,Sweden
101, Vanderbilt University,USA
102, Wageningen University,Netherlands
103, Washington State University,USA
104, Washington University,USA
105, Wayne State University,USA
106, Western Washington University,USA
107, Yale University,USA
108,†UniversitÈ Claude Bernard Lyon 1,France
109,Aarhus University,Denmark
110,Aberdeen University,UK
111,Africa Plant Seeds International,Tanzania
112,Agricultural University,Netherlands
113,Agricultural University of Norway,Norway
114,Agricultural University Wageningen,Netherlands
115,American Museum of Natural History,USA
116,ANUTECH Australian National University,Australia
117,Arizona State University,USA
118,Arizona State University ,USA
119,Arnold Arboretum Of Harvard University,United States
120,ART Research Station,Netherlands
121,Austrailan National University,Australia
122,Australian Institute of Marine Science ,Australia
123,Australian International Development Bureau,Australia
124,Australian National University,Australia
125,Austrian Research Centre for Forests (BFW),Austria
126,Bangor University,UK
127,Bavarian Forest National Park,Germany
128,Beaverlodge res farm,Canada
129,Beijing Forestry University,China
130,Ben-Gurion University of the Negev,Israel
131,Binghamton University- SUNY,USA
132,Biological Station Wijster,Netherlands
133,"Botanical Institute, University Of Bergen",Norway
134,Botanical Museum,Norway
135,Botanical Society of America,USA
136,Bournemouth University,UK
137,Brazilian Agricultural Research Corporation CIRAD,Brazil
138,Brigham Young University,USA
139,British Antartic Survey,UK
140,British Trust for Ornithology,UK
141,Brown University,USA
142,"Cab International Institute Of Entomology, The Natural History Museum",UK
143,Cal State Bakersfield,USA
144,California Academy Of Sciences,United States
145,Cambridge University,UK
146,Canadian Forest Products Ltd,Canada
147,Canadian Forestry Service,Canada
148,"Cape Research Centre, South African National Parks",South Africa
149,Carl-von-Ossietzky University,Germany
150,Carnegie Institution of Washington,USA
151,Case Western Reserve University,USA
152,Center for International Forestry Research CIFOR,Indonesia
153,Center for Tropical Agricultural Research and Education CATIE,Costa Rica
154,Centre d'Ecologie Fonctionnelle et Evolutive- CNRS,Finland
155,"Centre For Development Studies, University Of Bergen",Norway
156,Centre for Ecology and Hydrology,UK
157,Centre National de la Recherche Scientifique,France
158,Chinese Academy of Sciences,China
159,Christopher Newport University,USA
160,CIEP,Chile
161,CINVESTAV,Germany
162,CISC,Spain
163,CISRO,Australia
164,Citrus Research and Education Center,USA
165,City_Only,Australia
166,Clemson University,USA
167,CNRS  Institut des Sciences de l'Evolution Montpellier,France
168,Colegio de la Frontera Sur ECOSUR,Mexico
169,Colgate University,USA
170,"College Of Environmental Science And Forestry, Syracuse",United States
171,College of New Jersey,USA
172,Colorado Cooperative Fish and Wildlife Unit,USA
173,Colorado State,USA
174,Colorado State University,USA
175,Columbia University ,USA
176,Commonwealth Scientific and Industrial Research Organisation CSIRO,Australia
177,Commonwealth Secretariat ,UK
178,Consejo Superior de Investigaciones Cientificas,Spain
179,Copenhagen University,Denmark
180,Cork,Ireland
181,Cornell ,USA
182,Cornell University,USA
183,CSIRO,Australia
184,Csiro Division Of Wildlife And Ecology,Australia
185,CSIRO Plant Industry,Australia
186,Dalhousie University,Canada
187,Danish Forest and Landscape Research Institute,Denmark
188,Dartmouth College,USA
189,Dartmouth College ,USA
190,Denison University,USA
191,Department of Agriculture and Water Resources,Australia
192,"Department Of Animal And Plant Sciences, University Of Sheffield",UK
193,"Department Of Biodiversity And Evolutionary Biology, National Museum Of Natural Sciences",Spain
194,"Department Of Biological Sciences, Florida Institute Of Technology",United States
195,"Department Of Biological Sciencies, University Of Nevada Las Vegas",United States
196,"Department Of Biology, University Of New Mexico",United States
197,"Department Of Biology, University Of Vermont",United States
198,"Department Of Biology, University Of York",UK
199,"Department Of Botany, The Natural History Museum",UK
200,Department of Conservation and Land Management,Australia
201,"Department Of Ecology & Evolutionary Biology, University Of California, Irvine",United States
202,"Department Of Ecology, Evolution And Marine Biology, University Of California",United States
203,"Department Of Ecology, Lund University",Sweden
204,"Department Of Genetics And Human Variation, La Trobe University",Australia
205,"Department Of Geography, University Of California At Los Angeles",United States
206,"Department Of Geography, University Of Colorado",United States
207,"Department Of Geography, University Of Toronto",Canada
208,"Department Of Medicine, University Of Oxford",UK
209,Department of Scientific and Industrial Research,New Zealand
210,"Department Of Zoology, King'S College",UK
211,"Department Of Zoology, The Natural History Museum",UK
212,"Dept. of Biology, University of New York",USA
213,"Depto. De Ecologia, Universidad De La Laguna",Spain
214,Desert Research Institute,USA
215,"Director, Royal Botanic Gardens",UK
216,"Division Of Fishes, National Museum Of Natural History, Smithsonian Institution",United States
217,"Dsir Land Resources, Christ-Church",New Zealand
218,Duke University,USA
219,East Carolina U,USA
220,Eastern Michigan University,USA
221,Emory University,USA
222,Estonian Agricultultural University,Estonia
223,European Forestry Institute,Finland
224,Evolutionary Biology Centre,Sweden
225,Federal Forest Reseach Center,Austria
226,Federal Research Centre for Forestry and Forest Products BFH,Germany
227,Ferrum College,USA
228,Filed Museum Of Natural History,United States
229,Finnish Environment Institute,Finland
230,Finnish Forest Research Institute,Finland
231,Florida International U,USA
232,Florida State University,USA
233,Food and Agriculture Organization FAO,Italy
234,Forest Research Institute,Greece
235,Forestry and Forest Products Research Institute,Japan
